run_id,dataset,split,representation,checkpoint,track,pca_dim,classifier,seed,train_fraction,cp_auc,fitb_acc,pr_auc,train_seconds,extract_ips,peak_vram_mb,notes
clean_primary_resnet50_s20260912,polyvore_d_clean,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca256,256.0,logistic_regression,20260912,1.0,0.6937498134378515,0.4062871483291507,0.6917562150539093,0.4608159000054002,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
clean_primary_siglip2_b16_384_s20260912,polyvore_d_clean,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca256,256.0,logistic_regression,20260912,1.0,0.8891665373198181,0.6528199709417514,0.8885566123621742,0.4465448000119068,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
historical_pca128_clip_vitl14_336_s20260912,historical_polyvore_d,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca128,128.0,logistic_regression,20260912,1.0,0.8715277921437549,0.6108946847144272,0.862467929064597,0.1596810999908484,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
historical_pca128_dinov3_vitl16_s20260912,historical_polyvore_d,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca128,128.0,logistic_regression,20260912,1.0,0.7513720597446866,0.4575107296137339,0.7416531995538315,0.2099464000202715,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
historical_pca128_fashionclip2_s20260912,historical_polyvore_d,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca128,128.0,logistic_regression,20260912,1.0,0.8550718688203971,0.5912842522284583,0.8459313947321051,0.181387199962046,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
historical_pca128_gr_lite_s20260912,historical_polyvore_d,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca128,128.0,logistic_regression,20260912,1.0,0.8208458326416774,0.5459887751733246,0.8277230324696925,0.1443198000197298,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
historical_pca128_marqo_fashionsiglip_s20260912,historical_polyvore_d,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca128,128.0,logistic_regression,20260912,1.0,0.8750944043607948,0.6171673819742489,0.8690930830147942,0.1636368000181391,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
historical_pca128_resnet50_s20260912,historical_polyvore_d,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca128,128.0,logistic_regression,20260912,1.0,0.6884655570597898,0.3974909210960713,0.6840327505733172,0.1537439000094309,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
historical_pca128_siglip2_b16_384_s20260912,historical_polyvore_d,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca128,128.0,logistic_regression,20260912,1.0,0.8678940376187445,0.6137999339716078,0.8595704709519163,0.1614221999770961,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
historical_pca512_clip_vitl14_336_s20260912,historical_polyvore_d,test,clip_vitl14_336,openai/clip-vit-large-patch14-336@ce19dc912ca5cd21c8a653c79e251e808ccabcd1,pca512,512.0,logistic_regression,20260912,1.0,0.8682171276864634,0.6046219874546055,0.8607219016090337,0.9884087000391446,108.09638149985491,2029.3134765625,paper-readiness controlled robustness track
historical_pca512_dinov3_vitl16_s20260912,historical_polyvore_d,test,dinov3_vitl16,facebook/dinov3-vitl16-pretrain-lvd1689m@ea8dc2863c51be0a264bab82070e3e8836b02d51,pca512,512.0,logistic_regression,20260912,1.0,0.7576114725039922,0.4677451304060746,0.7539321643072597,1.375147399958223,187.21535845597867,911.22412109375,paper-readiness controlled robustness track
historical_pca512_fashionclip2_s20260912,historical_polyvore_d,test,fashionclip2,patrickjohncyh/fashion-clip@7e3ba62ce16b379a1ab479346b66f192e76f51b7,pca512,512.0,logistic_regression,20260912,1.0,0.8532875174621556,0.5889072301089469,0.846652235225591,1.1367012000409886,427.1983526768747,398.60302734375,paper-readiness controlled robustness track
historical_pca512_gr_lite_s20260912,historical_polyvore_d,test,gr_lite,srpone/gr-lite@a8057f8aadaaab91670ad37949f6e1b5aa187e29,pca512,512.0,logistic_regression,20260912,1.0,0.8165638227409062,0.5411687025420931,0.8244883133808283,0.7863791999989189,150.38689509548405,1742.939453125,paper-readiness controlled robustness track
historical_pca512_marqo_fashionsiglip_s20260912,historical_polyvore_d,test,marqo_fashionsiglip,Marqo/marqo-fashionSigLIP@c56244cc94f92419e8369fa71efdaf403b124ce8,pca512,512.0,logistic_regression,20260912,1.0,0.8747124969250148,0.615450643776824,0.8710938923146304,1.0114109000423923,549.8110388018738,651.5322265625,paper-readiness controlled robustness track
historical_pca512_resnet50_s20260912,historical_polyvore_d,test,resnet50,torchvision ResNet50_Weights.IMAGENET1K_V2@11ad3fa6,pca512,512.0,logistic_regression,20260912,1.0,0.6853577931214285,0.3934631891713436,0.6821990873639967,0.877060100028757,535.7507293763953,764.16162109375,paper-readiness controlled robustness track
historical_pca512_siglip2_b16_384_s20260912,historical_polyvore_d,test,siglip2_b16_384,google/siglip2-base-patch16-384@f775b65a79762255128c981547af89addcfe0f88,pca512,512.0,logistic_regression,20260912,1.0,0.8699978037766539,0.6190822053482997,0.8646141090888027,1.0873991000116805,172.6342947964257,1442.3955078125,paper-readiness controlled robustness track
