dataset,task,subgroup_type,subgroup,n,min,max,mean
iqon3000_clean,FITB,blank_category,ブレスレット,552,0.338768115942029,0.44021739130434784,0.39673913043478265
iqon3000_clean,FITB,blank_category,ブーツ,583,0.3241852487135506,0.4236706689536878,0.3798088703749081
iqon3000_clean,FITB,blank_category,ヘアアクセサリー,319,0.322884012539185,0.5109717868338558,0.43842364532019706
iqon3000_clean,FITB,blank_category,ベルト,126,0.29365079365079366,0.47619047619047616,0.3968253968253968
iqon3000_clean,FITB,blank_category,ボストンバッグ,153,0.37254901960784315,0.477124183006536,0.42203548085901027
iqon3000_clean,FITB,blank_category,メガネ,175,0.21142857142857144,0.37142857142857144,0.32163265306122446
iqon3000_clean,FITB,blank_category,リュック,323,0.34055727554179566,0.44272445820433437,0.3892083149049093
iqon3000_clean,FITB,blank_category,リング,237,0.3628691983122363,0.5063291139240507,0.4424352019288728
iqon3000_clean,FITB,blank_category,レッグウェア,294,0.3333333333333333,0.43537414965986393,0.38289601554907676
iqon3000_clean,FITB,blank_category,ロングスカート,177,0.2711864406779661,0.4180790960451977,0.35351089588377727
iqon3000_clean,FITB,blank_category,ロングパンツ,1568,0.3520408163265306,0.43494897959183676,0.3924927113702624
iqon3000_clean,FITB,blank_category,ワンピース,1108,0.34657039711191334,0.48465703971119134,0.4274110366168128
iqon3000_clean,FITB,blank_category,帽子,105,0.3238095238095238,0.4857142857142857,0.4122448979591837
iqon3000_clean,FITB,blank_category,腕時計,315,0.27936507936507937,0.4603174603174603,0.3845804988662132
iqon3000_clean,FITB,blank_category,靴,259,0.2972972972972973,0.444015444015444,0.38665195808052955
iqon3000_clean,FITB,outfit_length,2,5423,0.2985432417481099,0.3835515397381523,0.3553120307684202
iqon3000_clean,FITB,outfit_length,3,5386,0.3158187894541404,0.43204604530263646,0.3824465545594398
iqon3000_clean,FITB,outfit_length,4,4376,0.31421389396709326,0.46526508226691043,0.406927396186994
iqon3000_clean,FITB,outfit_length,5,3771,0.32856006364359586,0.4643330681516839,0.4228889646550744
iqon3000_clean,FITB,outfit_length,6+,5844,0.32819986310746063,0.48973305954825463,0.4424317981812848
polyvore_d_clean,CP,contains_category,accessories,3510,0.7263327408056753,0.9172740481002589,0.8622915398413974
polyvore_d_clean,CP,contains_category,all-body,10950,0.7001596130189112,0.9024318425387294,0.8446931298346574
polyvore_d_clean,CP,contains_category,bags,23692,0.7028063686292736,0.9057736142445303,0.8485629422731328
polyvore_d_clean,CP,contains_category,bottoms,15440,0.7035817068914603,0.9026108838492308,0.8460408980298608
polyvore_d_clean,CP,contains_category,hats,2982,0.747721293106279,0.9308309053966095,0.876580520457869
polyvore_d_clean,CP,contains_category,jewellery,15048,0.7050750464012236,0.9093009228522952,0.8538102756629786
polyvore_d_clean,CP,contains_category,outerwear,9912,0.7128145965366899,0.9127935395646337,0.8579253047712293
polyvore_d_clean,CP,contains_category,scarves,2518,0.7173362118402782,0.910457572830663,0.8564749777996924
polyvore_d_clean,CP,contains_category,shoes,27358,0.6959881488094803,0.8984511619244975,0.8420409689489976
polyvore_d_clean,CP,contains_category,sunglasses,5160,0.7021213418664745,0.9054458866654649,0.8479670692867015
polyvore_d_clean,CP,contains_category,tops,16438,0.6997978933579737,0.9003206509430569,0.8424794750644936
polyvore_d_clean,CP,outfit_length,2,1654,0.6180890121635433,0.7675423910961519,0.7206019505366367
polyvore_d_clean,CP,outfit_length,3,5072,0.672035776303874,0.8601095331329798,0.8009941097852928
polyvore_d_clean,CP,outfit_length,4,7490,0.6951941262136788,0.8969587576492735,0.8358627524728119
polyvore_d_clean,CP,outfit_length,5,7526,0.7064467945262518,0.912714954178866,0.8577000690155201
polyvore_d_clean,CP,outfit_length,6+,8542,0.7396133068653952,0.9436665666928397,0.8883253991361132
polyvore_d_clean,FITB,blank_category,accessories,379,0.39577836411609496,0.6200527704485488,0.5503203920090464
polyvore_d_clean,FITB,blank_category,all-body,1397,0.4087329992841804,0.6857551896921976,0.5984251968503936
polyvore_d_clean,FITB,blank_category,bags,2684,0.407973174366617,0.6564828614008942,0.5805301256120928
polyvore_d_clean,FITB,blank_category,bottoms,1610,0.4192546583850932,0.6378881987577639,0.5616681455190772
polyvore_d_clean,FITB,blank_category,hats,294,0.43537414965986393,0.717687074829932,0.6195335276967929
polyvore_d_clean,FITB,blank_category,jewellery,2056,0.384727626459144,0.6211089494163424,0.547248471372985
polyvore_d_clean,FITB,blank_category,outerwear,1025,0.4146341463414634,0.6565853658536586,0.5747735191637631
polyvore_d_clean,FITB,blank_category,scarves,208,0.375,0.6442307692307693,0.5521978021978022
polyvore_d_clean,FITB,blank_category,shoes,3133,0.42355569741461857,0.7050750079795723,0.6092745428845013
polyvore_d_clean,FITB,blank_category,sunglasses,504,0.31547619047619047,0.5873015873015873,0.5045351473922902
polyvore_d_clean,FITB,blank_category,tops,1852,0.4065874730021598,0.6533477321814255,0.5671860536871336
polyvore_d_clean,FITB,outfit_length,2,827,0.38331318016928656,0.6094316807738815,0.520469856624633
polyvore_d_clean,FITB,outfit_length,3,2536,0.40457413249211355,0.6636435331230284,0.575766110860748
polyvore_d_clean,FITB,outfit_length,4,3745,0.4136181575433912,0.6651535380507343,0.581995041007057
polyvore_d_clean,FITB,outfit_length,5,3763,0.4039330321551953,0.6468243422800957,0.5763258798071448
polyvore_d_clean,FITB,outfit_length,6+,4271,0.40739873565909623,0.6605010536174198,0.5837040505736361
