dataset,representation,learner,train_fraction,train_seconds,cp_auc,pr_auc,fitb_acc,selected_c,n_train,epochs,hidden_units,trees,max_depth,device
polyvore_d_clean,siglip2_b16_384,logistic,0.5,0.1739211000385694,0.8853435332504385,0.8851786252009225,0.6492537313432836,0.01,16990.0,,,,,
polyvore_d_clean,siglip2_b16_384,logistic,1.0,0.4682811999809928,0.8891665373198181,0.8885566123621742,0.6528199709417514,0.1,33982.0,,,,,
polyvore_d_clean,fashionclip2,logistic,0.1,0.0722826999844983,0.8418810643383874,0.8422422493537859,0.5742966583014133,0.01,3398.0,,,,,
polyvore_d_clean,fashionclip2,logistic,0.25,0.0921696000150404,0.8562086077363413,0.856424787462916,0.6033549068815216,0.01,8494.0,,,,,
polyvore_d_clean,fashionclip2,logistic,0.5,0.1891632000333629,0.8646982387887685,0.8636662313688681,0.6110817593448685,0.01,16990.0,,,,,
polyvore_d_clean,fashionclip2,logistic,1.0,0.5590213000541553,0.8689566926513539,0.8676319760886654,0.6174877823273015,0.01,33982.0,,,,,
polyvore_d_clean,marqo_fashionsiglip,logistic,0.1,0.0715524000115692,0.8629491581312722,0.862308143881825,0.6129309206181482,0.01,3398.0,,,,,
polyvore_d_clean,marqo_fashionsiglip,logistic,0.25,0.083324100007303,0.878929079534329,0.8775601551435214,0.6320829480914014,0.01,8494.0,,,,,
polyvore_d_clean,marqo_fashionsiglip,logistic,0.5,0.1549083999707363,0.8853328912482809,0.8834314423696719,0.6424514595165765,0.1,16990.0,,,,,
polyvore_d_clean,marqo_fashionsiglip,logistic,1.0,0.4817645999719389,0.8896760907759992,0.8877203261815729,0.6479329018623695,100.0,33982.0,,,,,
polyvore_d_clean,gr_lite,logistic,0.1,0.0642026999848894,0.7903534450542351,0.7991850756048413,0.515453704926694,0.01,3398.0,,,,,
polyvore_d_clean,gr_lite,logistic,0.25,0.0754620999796316,0.8103487399808385,0.817577225495845,0.5376436402060494,0.01,8494.0,,,,,
polyvore_d_clean,gr_lite,logistic,0.5,0.1292100999853573,0.8220693810215524,0.8278945051792931,0.5486065248976357,0.01,16990.0,,,,,
polyvore_d_clean,gr_lite,logistic,1.0,0.3437569999950938,0.8276769005625799,0.833067367988371,0.5573239994716682,0.01,33982.0,,,,,
