dataset,representation,learner,train_fraction,train_seconds,cp_auc,pr_auc,fitb_acc,selected_c,n_train,epochs,hidden_units,trees,max_depth,device
historical_polyvore_d,marqo_fashionsiglip,mlp,1.0,1.073633800027892,0.865061408693622,0.8614885015591329,0.5914163090128756,,,15.0,128.0,,,
historical_polyvore_d,marqo_fashionsiglip,xgboost,1.0,1.0880104000098072,0.8564800240134952,0.8601656956275403,0.5432816110927698,,,,,300.0,4.0,cuda
historical_polyvore_d,gr_lite,logistic,1.0,0.3654075000085868,0.8202937467799168,0.8274244168893161,0.544404093760317,1000.0,33990.0,,,,,
historical_polyvore_d,gr_lite,mlp,1.0,0.8041408999706618,0.8048043382986146,0.8109201694765199,0.5191152195444041,,,11.0,128.0,,,
historical_polyvore_d,gr_lite,xgboost,1.0,1.0085710000130348,0.8155605377793467,0.8258035342762953,0.502740178276659,,,,,300.0,4.0,cuda
polyvore_d_clean,resnet50,logistic,1.0,0.4564105999888852,0.6937498134378515,0.6917562150539093,0.4062871483291507,0.01,33982.0,,,,,
polyvore_d_clean,resnet50,mlp,1.0,0.9453976000077092,0.6739629447403919,0.671189791807027,0.3804649319772817,,,13.0,128.0,,,
polyvore_d_clean,resnet50,xgboost,1.0,1.1381305999821052,0.6831039339277515,0.683375288101483,0.3730022454101175,,,,,300.0,4.0,cuda
polyvore_d_clean,dinov3_vitl16,logistic,1.0,0.5876245999825187,0.7822002866327329,0.7808236637109816,0.5048210276053362,100.0,33982.0,,,,,
polyvore_d_clean,dinov3_vitl16,mlp,1.0,1.0528838000027465,0.770445791813024,0.769838461955257,0.4829612996962092,,,14.0,128.0,,,
polyvore_d_clean,dinov3_vitl16,xgboost,1.0,1.0122215000446886,0.7546791836732986,0.7582504629542577,0.4362039360718531,,,,,300.0,4.0,cuda
polyvore_d_clean,clip_vitl14_336,logistic,1.0,0.508352700038813,0.8883028123619103,0.8864205642658753,0.6499801875577863,100.0,33982.0,,,,,
polyvore_d_clean,clip_vitl14_336,mlp,1.0,1.10680940002203,0.8783991732490213,0.8778649311502459,0.6230352661471404,,,15.0,128.0,,,
polyvore_d_clean,clip_vitl14_336,xgboost,1.0,1.0287469999748282,0.874441440996178,0.8796005005903816,0.5782591467441554,,,,,300.0,4.0,cuda
polyvore_d_clean,siglip2_b16_384,logistic,1.0,0.4682811999809928,0.8891665373198181,0.8885566123621742,0.6528199709417514,0.1,33982.0,,,,,
polyvore_d_clean,siglip2_b16_384,mlp,1.0,1.0276990999700502,0.879225457113682,0.8799376292776995,0.6318187821952186,,,14.0,128.0,,,
polyvore_d_clean,siglip2_b16_384,xgboost,1.0,1.0565091000171378,0.8645321057952488,0.8700947902258084,0.5674283450006604,,,,,300.0,4.0,cuda
polyvore_d_clean,fashionclip2,logistic,1.0,0.5590213000541553,0.8689566926513539,0.8676319760886654,0.6174877823273015,0.01,33982.0,,,,,
polyvore_d_clean,fashionclip2,mlp,1.0,1.020686800009571,0.8554394417652285,0.8551260701744081,0.589354114383833,,,14.0,128.0,,,
polyvore_d_clean,fashionclip2,xgboost,1.0,1.0039090999634936,0.8410745902990544,0.8452889733835972,0.5268128384625544,,,,,300.0,4.0,cuda
polyvore_d_clean,marqo_fashionsiglip,logistic,1.0,0.4817645999719389,0.8896760907759992,0.8877203261815729,0.6479329018623695,100.0,33982.0,,,,,
polyvore_d_clean,marqo_fashionsiglip,mlp,1.0,1.0308566999738105,0.8792505246986826,0.8780034247858743,0.6203936071853123,,,14.0,128.0,,,
polyvore_d_clean,marqo_fashionsiglip,xgboost,1.0,1.0246017000172287,0.869908253380349,0.8740289153872641,0.5670981376304319,,,,,300.0,4.0,cuda
polyvore_d_clean,gr_lite,logistic,1.0,0.3437569999950938,0.8276769005625799,0.833067367988371,0.5573239994716682,0.01,33982.0,,,,,
polyvore_d_clean,gr_lite,mlp,1.0,0.8205256999935955,0.811542779165144,0.8179831790713282,0.5331528199709418,,,11.0,128.0,,,
polyvore_d_clean,gr_lite,xgboost,1.0,0.9770667999982834,0.8199259771115655,0.8274875947554796,0.5127460044908202,,,,,300.0,4.0,cuda
