analysis,cost,representation,score,cost_value,pareto_dominated,dominated_by
iqon_fitb,latency_ms,marqo_fashionsiglip,0.4450806451612903,1.9074093748713492,False,
iqon_fitb,latency_ms,gr_lite,0.3831854838709677,6.827905625141284,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_fitb,gflops,resnet50,0.3166129032258064,8.174272512,False,
iqon_fitb,gflops,dinov3_vitl16,0.366008064516129,125.679796224,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_fitb,gflops,clip_vitl14_336,0.4364112903225806,381.919789056,True,marqo_fashionsiglip
iqon_fitb,gflops,siglip2_b16_384,0.4330241935483871,112.127311872,True,marqo_fashionsiglip
iqon_fitb,gflops,fashionclip2,0.4275,8.81762304,False,
iqon_fitb,gflops,marqo_fashionsiglip,0.4450806451612903,35.416584192,False,
iqon_fitb,gflops,gr_lite,0.3831854838709677,289.622851584,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
iqon_fitb,peak_vram_mb,resnet50,0.3166129032258064,763.66162109375,True,fashionclip2;marqo_fashionsiglip
iqon_fitb,peak_vram_mb,dinov3_vitl16,0.366008064516129,885.22412109375,True,fashionclip2;marqo_fashionsiglip
iqon_fitb,peak_vram_mb,clip_vitl14_336,0.4364112903225806,2029.0966796875,True,marqo_fashionsiglip
iqon_fitb,peak_vram_mb,siglip2_b16_384,0.4330241935483871,1442.9287109375,True,marqo_fashionsiglip
iqon_fitb,peak_vram_mb,fashionclip2,0.4275,400.79248046875,False,
iqon_fitb,peak_vram_mb,marqo_fashionsiglip,0.4450806451612903,651.1904296875,False,
iqon_fitb,peak_vram_mb,gr_lite,0.3831854838709677,1686.69140625,True,siglip2_b16_384;fashionclip2;marqo_fashionsiglip
