dataset,representation,task,subgroup_type,subgroup,n,positive_n,metric,value
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,jewellery,2056,,accuracy,0.6211089494163424
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,outerwear,1025,,accuracy,0.6497560975609756
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,scarves,208,,accuracy,0.5913461538461539
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,shoes,3133,,accuracy,0.7050750079795723
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,sunglasses,504,,accuracy,0.5456349206349206
polyvore_d_clean,clip_vitl14_336,FITB,blank_category,tops,1852,,accuracy,0.6366090712742981
polyvore_d_clean,siglip2_b16_384,CP,outfit_length,2,1654,827.0,roc_auc,0.7675423910961519
polyvore_d_clean,siglip2_b16_384,CP,outfit_length,3,5072,2536.0,roc_auc,0.8587384253500383
polyvore_d_clean,siglip2_b16_384,CP,outfit_length,4,7490,3745.0,roc_auc,0.8969587576492735
polyvore_d_clean,siglip2_b16_384,CP,outfit_length,5,7526,3763.0,roc_auc,0.912714954178866
polyvore_d_clean,siglip2_b16_384,CP,outfit_length,6+,8542,4271.0,roc_auc,0.9385897473779621
polyvore_d_clean,siglip2_b16_384,CP,contains_category,accessories,3510,1755.0,roc_auc,0.9172740481002589
polyvore_d_clean,siglip2_b16_384,CP,contains_category,all-body,10950,5475.0,roc_auc,0.8998049581952003
polyvore_d_clean,siglip2_b16_384,CP,contains_category,bags,23692,11846.0,roc_auc,0.9034247838823228
polyvore_d_clean,siglip2_b16_384,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.9019754641064189
polyvore_d_clean,siglip2_b16_384,CP,contains_category,hats,2982,1491.0,roc_auc,0.9204432946887675
polyvore_d_clean,siglip2_b16_384,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.9087142391909244
polyvore_d_clean,siglip2_b16_384,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.9097196776345319
polyvore_d_clean,siglip2_b16_384,CP,contains_category,scarves,2518,1259.0,roc_auc,0.9080640043000956
polyvore_d_clean,siglip2_b16_384,CP,contains_category,shoes,27358,13679.0,roc_auc,0.8984511619244975
polyvore_d_clean,siglip2_b16_384,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.9034558470043869
polyvore_d_clean,siglip2_b16_384,CP,contains_category,tops,16438,8219.0,roc_auc,0.8992277589099151
polyvore_d_clean,siglip2_b16_384,FITB,outfit_length,2,827,,accuracy,0.6094316807738815
polyvore_d_clean,siglip2_b16_384,FITB,outfit_length,3,2536,,accuracy,0.6636435331230284
polyvore_d_clean,siglip2_b16_384,FITB,outfit_length,4,3745,,accuracy,0.6651535380507343
polyvore_d_clean,siglip2_b16_384,FITB,outfit_length,5,3763,,accuracy,0.6439011427052883
polyvore_d_clean,siglip2_b16_384,FITB,outfit_length,6+,4271,,accuracy,0.6518379770545539
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,accessories,379,,accuracy,0.6094986807387863
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,all-body,1397,,accuracy,0.670722977809592
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,bags,2684,,accuracy,0.6546199701937406
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,bottoms,1610,,accuracy,0.6354037267080745
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,hats,294,,accuracy,0.717687074829932
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,jewellery,2056,,accuracy,0.6152723735408561
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,outerwear,1025,,accuracy,0.6360975609756098
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,scarves,208,,accuracy,0.625
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,shoes,3133,,accuracy,0.6935844238748803
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,sunglasses,504,,accuracy,0.5873015873015873
polyvore_d_clean,siglip2_b16_384,FITB,blank_category,tops,1852,,accuracy,0.6533477321814255
polyvore_d_clean,fashionclip2,CP,outfit_length,2,1654,827.0,roc_auc,0.7460269998786424
polyvore_d_clean,fashionclip2,CP,outfit_length,3,5072,2536.0,roc_auc,0.832652003577506
polyvore_d_clean,fashionclip2,CP,outfit_length,4,7490,3745.0,roc_auc,0.8741739141284952
polyvore_d_clean,fashionclip2,CP,outfit_length,5,7526,3763.0,roc_auc,0.8961963307076349
polyvore_d_clean,fashionclip2,CP,outfit_length,6+,8542,4271.0,roc_auc,0.9199238152292903
polyvore_d_clean,fashionclip2,CP,contains_category,accessories,3510,1755.0,roc_auc,0.8848676552950057
polyvore_d_clean,fashionclip2,CP,contains_category,all-body,10950,5475.0,roc_auc,0.8821824899397428
polyvore_d_clean,fashionclip2,CP,contains_category,bags,23692,11846.0,roc_auc,0.8858155505074993
polyvore_d_clean,fashionclip2,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.8817683192837392
polyvore_d_clean,fashionclip2,CP,contains_category,hats,2982,1491.0,roc_auc,0.903895764481816
polyvore_d_clean,fashionclip2,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.8878141162174361
polyvore_d_clean,fashionclip2,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.8920189353151967
polyvore_d_clean,fashionclip2,CP,contains_category,scarves,2518,1259.0,roc_auc,0.8850405752135064
polyvore_d_clean,fashionclip2,CP,contains_category,shoes,27358,13679.0,roc_auc,0.8781702963151956
polyvore_d_clean,fashionclip2,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.8814919475993029
polyvore_d_clean,fashionclip2,CP,contains_category,tops,16438,8219.0,roc_auc,0.8782937108221034
polyvore_d_clean,fashionclip2,FITB,outfit_length,2,827,,accuracy,0.5525997581620314
polyvore_d_clean,fashionclip2,FITB,outfit_length,3,2536,,accuracy,0.6037066246056783
polyvore_d_clean,fashionclip2,FITB,outfit_length,4,3745,,accuracy,0.6280373831775701
polyvore_d_clean,fashionclip2,FITB,outfit_length,5,3763,,accuracy,0.6239702365134201
polyvore_d_clean,fashionclip2,FITB,outfit_length,6+,4271,,accuracy,0.6232732381175369
polyvore_d_clean,fashionclip2,FITB,blank_category,accessories,379,,accuracy,0.58311345646438
polyvore_d_clean,fashionclip2,FITB,blank_category,all-body,1397,,accuracy,0.6456692913385826
polyvore_d_clean,fashionclip2,FITB,blank_category,bags,2684,,accuracy,0.6270491803278688
polyvore_d_clean,fashionclip2,FITB,blank_category,bottoms,1610,,accuracy,0.5919254658385094
polyvore_d_clean,fashionclip2,FITB,blank_category,hats,294,,accuracy,0.6428571428571429
polyvore_d_clean,fashionclip2,FITB,blank_category,jewellery,2056,,accuracy,0.5773346303501945
polyvore_d_clean,fashionclip2,FITB,blank_category,outerwear,1025,,accuracy,0.6204878048780488
polyvore_d_clean,fashionclip2,FITB,blank_category,scarves,208,,accuracy,0.5913461538461539
polyvore_d_clean,fashionclip2,FITB,blank_category,shoes,3133,,accuracy,0.6562400255346313
polyvore_d_clean,fashionclip2,FITB,blank_category,sunglasses,504,,accuracy,0.5714285714285714
polyvore_d_clean,fashionclip2,FITB,blank_category,tops,1852,,accuracy,0.6004319654427646
polyvore_d_clean,marqo_fashionsiglip,CP,outfit_length,2,1654,827.0,roc_auc,0.7581708042793917
polyvore_d_clean,marqo_fashionsiglip,CP,outfit_length,3,5072,2536.0,roc_auc,0.8575613686572658
polyvore_d_clean,marqo_fashionsiglip,CP,outfit_length,4,7490,3745.0,roc_auc,0.8948461767447832
polyvore_d_clean,marqo_fashionsiglip,CP,outfit_length,5,7526,3763.0,roc_auc,0.9126208875049443
polyvore_d_clean,marqo_fashionsiglip,CP,outfit_length,6+,8542,4271.0,roc_auc,0.9436665666928397
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,accessories,3510,1755.0,roc_auc,0.915676820805026
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,all-body,10950,5475.0,roc_auc,0.9024318425387294
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,bags,23692,11846.0,roc_auc,0.9057736142445303
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,bottoms,15440,7720.0,roc_auc,0.9026108838492308
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,hats,2982,1491.0,roc_auc,0.9241795508125885
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,jewellery,15048,7524.0,roc_auc,0.9093009228522952
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,outerwear,9912,4956.0,roc_auc,0.9127935395646337
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,scarves,2518,1259.0,roc_auc,0.9074066246456807
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,shoes,27358,13679.0,roc_auc,0.8984143209524241
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,sunglasses,5160,2580.0,roc_auc,0.9054458866654649
polyvore_d_clean,marqo_fashionsiglip,CP,contains_category,tops,16438,8219.0,roc_auc,0.9003206509430569
polyvore_d_clean,marqo_fashionsiglip,FITB,outfit_length,2,827,,accuracy,0.56590084643289
polyvore_d_clean,marqo_fashionsiglip,FITB,outfit_length,3,2536,,accuracy,0.6529968454258676
polyvore_d_clean,marqo_fashionsiglip,FITB,outfit_length,4,3745,,accuracy,0.6542056074766355
polyvore_d_clean,marqo_fashionsiglip,FITB,outfit_length,5,3763,,accuracy,0.6468243422800957
polyvore_d_clean,marqo_fashionsiglip,FITB,outfit_length,6+,4271,,accuracy,0.6562865839381877
polyvore_d_clean,marqo_fashionsiglip,FITB,blank_category,accessories,379,,accuracy,0.6200527704485488
